Age Group,Gender,Marvel or DC, Actors, Superheroes, Superpowers, Relatability ,Entertainment factor,Humor,Quality of films,Nostalgia factor,Themes
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Female,No preference,,,,,,,,,
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Male,No preference,,,,,,,,,
13-18,Male,Marvel,Marvel,Marvel,DC,Marvel,Marvel,Marvel,Marvel,DC,Marvel
13-18,Male,Marvel,Marvel,Marvel,DC,Marvel,Marvel,Marvel,DC,DC,DC
13-18,Female,No preference,,,,,,,,,
13-18,Male,Marvel,Marvel,DC,DC,Marvel,Marvel,Marvel,Marvel,Marvel,DC
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC,Marvel,Marvel
13-18,Male,Marvel,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
35-44,Male,Marvel,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel,DC,DC
13-18,Female,DC,DC,DC,DC,DC,DC,DC,Marvel,Marvel,DC
25-34,Female,Marvel,Marvel,DC,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Female,Marvel,Marvel,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Male,No preference,,,,,,,,,
13-18,Female,No preference,,,,,,,,,
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC,DC
35-44,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
19-24,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
35-44,Male,Marvel,Marvel,Marvel,Marvel,DC,Marvel,Marvel,Marvel,DC,DC
25-34,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Female,No preference,,,,,,,,,
35-44,Female,No preference,,,,,,,,,
55-64,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
25-34,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
35-44,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC
35-44,Female,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC
19-24,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC,Marvel
13-18,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
25-34,Male,No preference,,,,,,,,,
25-34,Male,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC,DC
35-44,Female,Marvel,Marvel,DC,DC,Marvel,DC,Marvel,Marvel,DC,Marvel
45-54,Male,I enjoy both equally,,,,,,,,,
13-18,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
45-54,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC,Marvel,Marvel,Marvel
55-64,Female,No preference,,,,,,,,,
45-54,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
35-44,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,DC,Marvel
35-44,Male,Marvel,Marvel,Marvel,DC,DC,Marvel,Marvel,Marvel,DC,Marvel
55-64,Male,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
13-18,Male,No preference,,,,,,,,,
55-64,Female,I enjoy both equally,,,,,,,,,
35-44,Male,Marvel,Marvel,Marvel,Marvel,DC,Marvel,Marvel,Marvel,Marvel,Marvel
35-44,Female,DC,Marvel,DC,DC,DC,Marvel,Marvel,DC,DC,DC
35-44,Female,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel,Marvel
35-44,Female,No preference,,,,,,,,,
13-18,Female,No preference,,,,,,,,,
